"INSTANCE_NUMBER","PROCESS","TIME"
1,4575,"18/04/2021 16:00"
2,4343,"18/04/2021 16:00"
1,4573,"18/04/2021 17:00"
2,4337,"18/04/2021 17:00"
2,4344,"18/04/2021 18:00"
1,4569,"18/04/2021 18:00"
2,4341,"18/04/2021 19:00"
1,4578,"18/04/2021 19:00"
1,4570,"18/04/2021 20:00"
2,4341,"18/04/2021 20:00"
1,4582,"18/04/2021 21:00"
2,4341,"18/04/2021 21:00"
2,4339,"18/04/2021 22:00"
1,4574,"18/04/2021 22:00"
2,4343,"18/04/2021 23:00"
1,4583,"18/04/2021 23:00"
2,4343,"19/04/2021 00:00"
1,4588,"19/04/2021 00:00"
2,4340,"19/04/2021 01:00"
1,4593,"19/04/2021 01:00"
1,4580,"19/04/2021 02:00"
2,4345,"19/04/2021 02:00"
2,4360,"19/04/2021 03:00"
1,4588,"19/04/2021 03:00"
1,4594,"19/04/2021 04:00"
2,4361,"19/04/2021 04:00"
1,4587,"19/04/2021 05:00"
2,4364,"19/04/2021 05:00"
1,4586,"19/04/2021 06:00"
2,4364,"19/04/2021 06:00"
2,4456,"19/04/2021 07:00"
1,4569,"19/04/2021 07:00"
2,5052,"19/04/2021 08:00"
1,5007,"19/04/2021 08:00"
2,4582,"19/04/2021 09:00"
1,4581,"19/04/2021 09:00"
2,4574,"19/04/2021 10:00"
1,4597,"19/04/2021 10:00"
2,4697,"19/04/2021 11:00"
1,4672,"19/04/2021 11:00"
1,4648,"19/04/2021 12:00"
2,4693,"19/04/2021 12:00"
2,4495,"19/04/2021 13:00"
1,4669,"19/04/2021 13:00"
1,4548,"19/04/2021 14:00"
2,4483,"19/04/2021 14:00"
2,4483,"19/04/2021 15:00"
1,4549,"19/04/2021 15:00"
2,4499,"19/04/2021 16:00"
1,4554,"19/04/2021 16:00"
2,4503,"19/04/2021 17:00"
1,4561,"19/04/2021 17:00"
1,4559,"19/04/2021 18:00"
2,4496,"19/04/2021 18:00"
2,4501,"19/04/2021 19:00"
1,4560,"19/04/2021 19:00"
1,4572,"19/04/2021 20:00"
2,4484,"19/04/2021 20:00"
2,4494,"19/04/2021 21:00"
1,4556,"19/04/2021 21:00"
2,4497,"19/04/2021 22:00"
1,4552,"19/04/2021 22:00"
1,4556,"19/04/2021 23:00"
2,4493,"19/04/2021 23:00"
1,4575,"20/04/2021 00:00"
2,4495,"20/04/2021 00:00"
2,4496,"20/04/2021 01:00"
1,4581,"20/04/2021 01:00"
1,4551,"20/04/2021 02:00"
2,4505,"20/04/2021 02:00"
2,4505,"20/04/2021 03:00"
1,4553,"20/04/2021 03:00"
1,4558,"20/04/2021 04:00"
2,4512,"20/04/2021 04:00"
1,4567,"20/04/2021 05:00"
2,4505,"20/04/2021 05:00"
2,4516,"20/04/2021 06:00"
1,4561,"20/04/2021 06:00"
2,4502,"20/04/2021 07:00"
1,4554,"20/04/2021 07:00"
1,4577,"20/04/2021 08:00"
2,4519,"20/04/2021 08:00"
2,4525,"20/04/2021 09:00"
1,4577,"20/04/2021 09:00"
