AWRDATE,OBJECT,VALUE,RANK
"23/09/2021 03:00","SUBSCRIPTION_CONSUMPTION","3258654972",3
"23/09/2021 03:00","SUBSCRIPTION","1354350396",4
"23/09/2021 03:00","SUBS_PRESENCE_LOCATION_01_IDX","604783679",5
"23/09/2021 03:00","HISTO_GPRS_09","313007281",6
"23/09/2021 03:00","HISTO_LOCATION_09_PK","241896311",7
"23/09/2021 03:00","HISTO_GPRS_09_IDX","49797952",8
"23/09/2021 03:00","POOL_CHARGING","23519082",9
"23/09/2021 03:00","HISTO_LOCATION_09","2445280",10
"23/09/2021 04:00","SUBSCRIPTION_PRESENCE_LOCATION","8698429659",1
"23/09/2021 04:00","HISTO_GPRS_09_PK","5187249485",2
"23/09/2021 04:00","SUBSCRIPTION_CONSUMPTION","3261417948",3
"23/09/2021 04:00","SUBSCRIPTION","1355778965",4
"23/09/2021 04:00","SUBS_PRESENCE_LOCATION_01_IDX","605294231",5
"23/09/2021 04:00","HISTO_GPRS_09","298755044",6
"23/09/2021 04:00","HISTO_LOCATION_09_PK","242278868",7
"23/09/2021 04:00","HISTO_GPRS_09_IDX","50775050",8
"23/09/2021 04:00","POOL_CHARGING","23546734",9
"23/09/2021 04:00","COMMERCIAL_GROUP_SHARD","2366212",10
"23/09/2021 05:00","SUBSCRIPTION_PRESENCE_LOCATION","8705329825",1
"23/09/2021 05:00","HISTO_GPRS_09_PK","5197172379",2
"23/09/2021 05:00","SUBSCRIPTION_CONSUMPTION","3264112885",3
"23/09/2021 05:00","SUBSCRIPTION","1357159705",4
"23/09/2021 05:00","SUBS_PRESENCE_LOCATION_01_IDX","605782685",5
"23/09/2021 05:00","HISTO_GPRS_09","265123929",6
"23/09/2021 05:00","HISTO_LOCATION_09_PK","125010808",7
"23/09/2021 05:00","HISTO_GPRS_09_IDX","51088553",8
"23/09/2021 05:00","POOL_CHARGING","23573236",9
"23/09/2021 05:00","HISTO_LOCATION_09","3236591",10
"23/09/2021 06:00","SUBSCRIPTION_PRESENCE_LOCATION","8712075623",1
"23/09/2021 06:00","HISTO_GPRS_09_PK","5207009401",2
"23/09/2021 06:00","SUBSCRIPTION_CONSUMPTION","3266768141",3
"23/09/2021 06:00","SUBSCRIPTION","1358640165",4
"23/09/2021 06:00","SUBS_PRESENCE_LOCATION_01_IDX","606260468",5
"23/09/2021 06:00","HISTO_GPRS_09","302207951",6
"23/09/2021 06:00","HISTO_LOCATION_09_PK","242933549",7
"23/09/2021 06:00","HISTO_GPRS_09_IDX","49964732",8
"23/09/2021 06:00","POOL_CHARGING","23599930",9
"23/09/2021 06:00","HISTO_LOCATION_09","3473826",10
"23/09/2021 07:00","SUBSCRIPTION_PRESENCE_LOCATION","8721356454",1
"23/09/2021 07:00","HISTO_GPRS_09_PK","5219410630",2
"23/09/2021 07:00","SUBSCRIPTION_CONSUMPTION","3269259437",3
"23/09/2021 07:00","SUBSCRIPTION","1360183974",4
"23/09/2021 07:00","SUBS_PRESENCE_LOCATION_01_IDX","606816179",5
"23/09/2021 07:00","HISTO_GPRS_09","281463703",6
"23/09/2021 07:00","HISTO_LOCATION_09_PK","243420373",7
"23/09/2021 07:00","HISTO_GPRS_09_IDX","51250801",8
"23/09/2021 07:00","POOL_CHARGING","23628550",9
"23/09/2021 07:00","COMMERCIAL_GROUP_SHARD","2412492",10
"23/09/2021 08:00","SUBSCRIPTION_PRESENCE_LOCATION","8728074058",1
"23/09/2021 08:00","HISTO_GPRS_09_PK","5229655239",2
"23/09/2021 08:00","SUBSCRIPTION_CONSUMPTION","3271841776",3
"23/09/2021 08:00","SUBSCRIPTION","1361646428",4
"23/09/2021 08:00","SUBS_PRESENCE_LOCATION_01_IDX","607272709",5
"23/09/2021 08:00","HISTO_GPRS_09","316455784",6
"23/09/2021 08:00","HISTO_LOCATION_09_PK","243684923",7
"23/09/2021 08:00","HISTO_GPRS_09_IDX","51239313",8
"23/09/2021 08:00","POOL_CHARGING","23655710",9
"23/09/2021 08:00","COMMERCIAL_GROUP_SHARD","2427542",10
"23/09/2021 09:00","SUBSCRIPTION_PRESENCE_LOCATION","8735020871",1
"23/09/2021 09:00","HISTO_GPRS_09_PK","5239631067",2
"23/09/2021 09:00","SUBSCRIPTION_CONSUMPTION","3274511974",3
"23/09/2021 09:00","SUBSCRIPTION","1363170257",4
"23/09/2021 09:00","SUBS_PRESENCE_LOCATION_01_IDX","607720578",5
"23/09/2021 09:00","HISTO_GPRS_09","287361513",6
"23/09/2021 09:00","HISTO_LOCATION_09_PK","243932429",7
"23/09/2021 09:00","HISTO_GPRS_09_IDX","48728722",8
"23/09/2021 09:00","POOL_CHARGING","23682470",9
"23/09/2021 09:00","COMMERCIAL_GROUP_SHARD","2442592",10
"23/09/2021 10:00","SUBSCRIPTION_PRESENCE_LOCATION","8741716792",1
"23/09/2021 10:00","HISTO_GPRS_09_PK","5249458472",2
"23/09/2021 10:00","SUBSCRIPTION_CONSUMPTION","3277131316",3
"23/09/2021 10:00","SUBSCRIPTION","1364676087",4
"23/09/2021 10:00","SUBS_PRESENCE_LOCATION_01_IDX","608172795",5
"23/09/2021 10:00","HISTO_GPRS_09","282898953",6
"23/09/2021 10:00","HISTO_LOCATION_09_PK","244190114",7
"23/09/2021 10:00","HISTO_GPRS_09_IDX","49832748",8
"23/09/2021 10:00","POOL_CHARGING","23708790",9
"23/09/2021 10:00","SUBSCRIPTION_VOUCHER_RECURRENT","4464941",10
"23/09/2021 11:00","SUBSCRIPTION_PRESENCE_LOCATION","8748737546",1
"23/09/2021 11:00","HISTO_GPRS_09_PK","5259592349",2
